R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\login\index.vue|418-420|F|P1|Apple 登录假成功：uni.login(apple) 成功后直接 toast"登录成功"并跳转 discover，注释明示"省略与后端 /api/auth/third-party/apple 的 token 交换"，实际未建立会话（模拟登录）|用户以为 Apple 登录成功，实际未登录，跳转后被守卫踢回登录页，信任受损|接入后端 Apple token 交换，未实现前移除入口|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\login\index.vue|588-589|H|P3|展示模式入口中文文案硬编码"以演示者身份进入展示版/超级管理员模式 · 一键体验全部功能"，绕过 i18n（页内其余文案均走 t()）|展示构建文案无法随语言切换|文案迁移到 i18n 资源|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\login\index.vue|37|T|P3|验证码倒计时状态机死代码：countdown/pauseCountdown/resumeCountdown（L107-138）与 .send-code-btn 样式（L914-940）无消费方——本页为手机号+密码登录，模板无验证码 UI|维护成本与误导（后人以为有验证码功能）|删除倒计时逻辑与对应样式|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|257-271|F|P1|空闲时段 ActionSheet 三选项（添加课程/活动/自定义）选中后仅 toast"编辑中"（courseEditing 等）无任何后续，功能未闭环|用户无法在首页添加课表安排，入口为假按钮|接入 schedule 编辑链路或移除入口|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|295|H|P2|签到成功 toast 奖励硬编码 n=5（t('home.checkinReward', { n: 5 })），与 L411 earnedPoints（extraRecommendations || 5）动态值可脱节|后端奖励非 5 时 toast 与分享卡片数字矛盾，误导用户|奖励数从 store 结果取|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|835-881|T|P3|死样式集群：.notification-btn/.settings-btn/.notification-dot（L835-881）、.banner-*（L1248-1354）、.recommend-*（L1468-1568）、.post-*（L1746-1967）、.shop-*（L1902-1967）、.fab-*（L2049-2101）模板均无引用（注释已移除对应模块）|产物体积与样式维护成本|删除未引用样式块|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|39-40|T|P3|注释"首页 = 索引 2"与 useTabBar(0) 实参矛盾（discover/index.vue L50 注释称"tab 顺序：首页0/匹配1…"），两页注释互斥|误导 tab 索引维护，改 tab 时易出错|统一修正注释|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\home\index.vue|619-650|F|P3|活动横滚区无空态：activityStore.activities 为空时仅渲染空白横向滚动区，无提示|空数据时页面模块显空白|增加空态占位|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\discover\index.vue|113-115|H|P2|匹配成功动画头像硬编码固定占位图 partnerAvatar=AVATAR_1 / myAvatar=AVATAR_2（注释承认"UserSession 无 avatarUrl 字段"）|用户本人与对方头像非真实头像，匹配场景信任受损|会话/卡片数据源补齐真实头像|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\discover\index.vue|376-401|T|P3|[AUTOSHOT] 自动化走查钩子残留生产代码：URL shot 参数可驱动自动打开详情/签到/筛选弹窗|测试专用后门入口，扩大攻击面|移入测试专用构建|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\discover\index.vue|288-289|H|P3|缺省年龄区间魔法数字 18/35（recommendationFilter.ageMin ?? 18 / ageMax ?? 35）|调整默认筛选需改代码|常量提取或配置化|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\discover\history.vue|60-77|F|P1|历史列表对已滑过卡片回退到占位数据：viewedCards 仅存 cardId/userId，getCardDetail 兜底返回"默认昵称"+空头像/签名（模板 L177/184 展示）|历史记录页核心内容不可识别，用户无法回看已滑用户，功能价值缺失|历史记录持久化昵称/头像字段|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\discover\history.vue|204-208|U|P3|挽回按钮无 loading/禁用态：连点可并发重复调用 rewindCard|重复请求浪费与触发每日限流 429|加防抖与禁用态|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\likes\index.vue|167-173|B|P2|VIP 免费解锁仅前端置位 item.unlocked=true，无服务端调用；若后端 unlocked 以 unlock 表为准，刷新后锁状态回退|VIP 用户解锁体验不稳定、状态不同步|服务端解锁接口或服务端感知 VIP 态|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\likes\index.vue|614|U|P3|未解锁列表项点击无任何反馈（三元表达式第三分支为 undefined），用户点后无反应|点击无响应，用户不知道如何解锁|未解锁点击弹出解锁引导|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\likes\index.vue|1155|D|P3|内联硬编码色值 rgba(15,23,42,0.72)（L1510 已有同值 token --c-overlay-strong）与 L1391 color:#ffffff 未用 design token|深色模式/主题适配失效|改用 token|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\likes\index.vue|1351-1415|T|P3|.likes-batch-bar 选择器被拆为两块重复定义（L1351-1358 与 L1404-1415），bottom 属性两处声明|样式维护隐患，后续修改易漏一侧|合并为单一规则块|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\likes\index.vue|1021-1071|T|P3|死样式 .likes-loading__spinner/.likes-loading__text/.likes-empty* 模板无引用（已改用 Skeleton/EmptyState 组件）|冗余样式|删除|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\likes-visitors\index.vue|185-189|B|P2|formatTime 无 isNaN 校验且直接 new Date() 解析：契约（likes.yaml）visitedAt 为 "yyyy-MM-dd HH:mm:ss"，iOS/Safari 解析为 Invalid Date → 显示 NaN/NaN（likes/index.vue 已有 P2-01 同类修复，本页未同步）|iOS 端访客时间显示错乱|加 isNaN 校验 + 格式转换|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\likes-visitors\index.vue|91-97|B|P2|onShow 加载条件反置：if (profileStore.loading) 时才再 load()，加载完成后（loading=false）永不刷新 profileStats，且加载中重复请求|页面数据陈旧与重复请求并存|改为 !loading 或无条件刷新|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\likes-visitors\index.vue|121-125|B|P2|VIP 免费解锁 markAllUnlocked(true) 仅本地置位无服务端持久化，刷新后 unlocked 回退为锁定|VIP 解锁不可靠|服务端解锁链路打通|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\likes-visitors\index.vue|267|U|P3|未解锁列表项 @tap 为 undefined 无任何反馈|点击无响应|弹出解锁引导|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\heart-signals\index.vue|240|B|P2|fromUserAvatar 直接绑定 :src 未走 resolveMediaUrl（likes/home 等页均经 resolveMediaUrl 重写鉴权代理路径）|真实模式用户上传头像 URL 未重写导致 403/404 无法显示|补 resolveMediaUrl 重写|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\heart-signals\index.vue|33-41|B|P2|信号状态机与契约不符：likes.yaml status enum=[pending,accepted,declined]，前端分组 [pending,accepted,expired]——expired tab 契约中不存在（后端按契约返回时恒空），declined 信号无任何展示分支被静默丢弃|已拒绝信号不可见、过期 tab 空置|对齐契约状态机并补 declined 展示|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\heart-signals\index.vue|595|H|P2|倒计时进度条硬编码固定 24h 动画（countdown-shrink 24h linear）与信号实际 expiresAt 无关|信号过期时长非 24h 时进度条失真误导|按 expiresAt 动态计算宽度|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\verification\index.vue|149-163|F|P1|认证提交为本地模拟：注释明确"无恋爱认证提交接口"，1s 后本地置 pending；学生证图片仅本地临时路径（chooseImage 未上传）|恋爱认证功能未落地，用户上传的学生证永不达审核方，认证信任体系断裂|接入后端提交/图片上传端点|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\verification\index.vue|22|B|P1|认证状态无任何加载逻辑：status 恒为初始 unverified（无 onLoad/onMounted 拉取），已认证用户进入页面显示"未认证"+表单|认证状态展示错误，用户困惑；注释 L5"mock 默认已认证"亦与实现矛盾|onLoad 拉取真实认证状态|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\verification\index.vue|191-226|F|P2|resetVerification/removeVerification 仅本地翻转 status，无后端解除认证调用|"解除认证"实际未解除，会话/后端状态不一致|接入后端接口|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\verification\index.vue|180-188|T|P3|simulateApprove 函数体无 isMockMode 守卫（仅模板 v-if 保护），若未来被其他调用点引用即可在真实模式伪造认证通过|认证信任体系防御性缺口|函数内加环境守卫|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\love-center\index.vue|9|T|P3|头部注释"当前为占位页：各板块点击后提示内容筹备中"与 L56"2026-08-07 落地真实内容源"矛盾（过时注释）|误导开发|修正注释|open|batch-4
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\love-center\consulting.vue|41-44|F|P1|课程报名按钮仅 toast"报名成功"（signupSuccess），无报名/支付链路（注释"真实报名/支付链路接入后端"）|商业化付费链路为假按钮，用户付费期望落空|接入真实报名/支付|open|batch-2
R4-XXXXX|d:\6\恋爱小程序\apps\client\src\pages\love-center\consulting.vue|30-32|H|P3|课程价格 99/129/159 魔法数字硬编码|调价需改代码|价格配置化|open|batch-4
