R4-XXXXX|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|53|T|P3|reqSeq 竞态防护重复实现未抽取：计数器声明（let reqSeq = 0）（行 53）|同一竞态防护逻辑在 18 个视图重复手写 94 处，修复或调整需逐文件同步，漏改易引入列表/刷新竞态回归|抽取 usePageRequestGuard composable 统一实现，并替换全部视图的重复代码|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|68|T|P3|reqSeq 竞态防护重复实现未抽取：请求序号递增（const seq = ++reqSeq）（行 68）|同一竞态防护逻辑在 18 个视图重复手写 94 处，修复或调整需逐文件同步，漏改易引入列表/刷新竞态回归|抽取 usePageRequestGuard composable 统一实现，并替换全部视图的重复代码|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|71|T|P2|reqSeq 竞态防护重复实现未抽取：成功路径过期守卫（if (seq !== reqSeq) return）（行 71）|同一竞态防护逻辑在 18 个视图重复手写 94 处，修复或调整需逐文件同步，漏改易引入列表/刷新竞态回归|抽取 usePageRequestGuard composable 统一实现，并替换全部视图的重复代码|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|76|T|P2|reqSeq 竞态防护重复实现未抽取：异常路径过期守卫（if (seq !== reqSeq) return）（行 76）|同一竞态防护逻辑在 18 个视图重复手写 94 处，修复或调整需逐文件同步，漏改易引入列表/刷新竞态回归|抽取 usePageRequestGuard composable 统一实现，并替换全部视图的重复代码|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\admin\src\views\activity\Enrollments.vue|82|T|P2|reqSeq 竞态防护重复实现未抽取：finally 最终守卫（if (seq === reqSeq)）（行 82）|同一竞态防护逻辑在 18 个视图重复手写 94 处，修复或调整需逐文件同步，漏改易引入列表/刷新竞态回归|抽取 usePageRequestGuard composable 统一实现，并替换全部视图的重复代码|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|63|T|P3|reqSeq 竞态防护重复实现未抽取：计数器声明（let reqSeq = 0）（行 63）|同一竞态防护逻辑在 18 个视图重复手写 94 处，修复或调整需逐文件同步，漏改易引入列表/刷新竞态回归|抽取 usePageRequestGuard composable 统一实现，并替换全部视图的重复代码|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|69|T|P3|reqSeq 竞态防护重复实现未抽取：请求序号递增（const seq = ++reqSeq）（行 69）|同一竞态防护逻辑在 18 个视图重复手写 94 处，修复或调整需逐文件同步，漏改易引入列表/刷新竞态回归|抽取 usePageRequestGuard composable 统一实现，并替换全部视图的重复代码|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|78|T|P2|reqSeq 竞态防护重复实现未抽取：成功路径过期守卫（if (seq !== reqSeq) return）（行 78）|同一竞态防护逻辑在 18 个视图重复手写 94 处，修复或调整需逐文件同步，漏改易引入列表/刷新竞态回归|抽取 usePageRequestGuard composable 统一实现，并替换全部视图的重复代码|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|83|T|P2|reqSeq 竞态防护重复实现未抽取：异常路径过期守卫（if (seq !== reqSeq) return）（行 83）|同一竞态防护逻辑在 18 个视图重复手写 94 处，修复或调整需逐文件同步，漏改易引入列表/刷新竞态回归|抽取 usePageRequestGuard composable 统一实现，并替换全部视图的重复代码|open|batch-3
R4-XXXXX|d:\6\恋爱小程序\apps\admin\src\views\activity\Activities.vue|89|T|P2|reqSeq 竞态防护重复实现未抽取：finally 最终守卫（if (seq === reqSeq)）（行 89）|同一竞态防护逻辑在 18 个视图重复手写 94 处，修复或调整需逐文件同步，漏改易引入列表/刷新竞态回归|抽取 usePageRequestGuard composable 统一实现，并替换全部视图的重复代码|open|batch-3
