file	bytes	uniqueColors	dominantRatio	meanBright	stdBright	verdict
pages_discover_index__交互后.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_discover_index__弹层态.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_discover_index__默认.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_home_index__交互后.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_home_index__弹层态.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_home_index__滚动-中部.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_home_index__滚动-底部.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_home_index__默认.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_login_index__交互后.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_login_index__校验错误.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_login_index__默认.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_messages_index__交互后.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_messages_index__空态.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_messages_index__默认.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_nearby_index__交互后.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_nearby_index__滚动-中部.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_nearby_index__滚动-底部.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
pages_nearby_index__默认.pngtERRt在设置字符串格式时出错: 索引(从零开始)必须大于或等于零，且小于参数列表的大小。。
